dataset,model,signal,coverage,selective_accuracy,risk,n,small_n
CADEC,BioMistral-7B,entropy,0.5,0.30470130788264405,0.695298692117356,5658,False
CADEC,BioMistral-7B,entropy,0.45,0.3121319199057715,0.6878680800942285,5658,False
CADEC,BioMistral-7B,entropy,0.4,0.3131625441696113,0.6868374558303887,5658,False
CADEC,BioMistral-7B,entropy,0.35,0.31953558808682486,0.6804644119131751,5658,False
CADEC,BioMistral-7B,entropy,0.3,0.3215547703180212,0.6784452296819787,5658,False
CADEC,BioMistral-7B,entropy,0.25,0.34063604240282686,0.6593639575971731,5658,False
CADEC,BioMistral-7B,entropy,0.2,0.3392226148409894,0.6607773851590106,5658,False
CADEC,BioMistral-7B,entropy,0.15,0.3415783274440518,0.6584216725559482,5658,False
CADEC,BioMistral-7B,entropy,0.1,0.36042402826855124,0.6395759717314488,5658,False
CADEC,BioMistral-7B,margin,1.0,0.24407917992223402,0.755920820077766,5658,False
CADEC,BioMistral-7B,margin,0.95,0.24107142857142858,0.7589285714285714,5658,False
CADEC,BioMistral-7B,margin,0.9,0.24091890830551738,0.7590810916944826,5658,False
CADEC,BioMistral-7B,margin,0.85,0.24345114345114346,0.7565488565488565,5658,False
CADEC,BioMistral-7B,margin,0.8,0.2460790810691407,0.7539209189308593,5658,False
CADEC,BioMistral-7B,margin,0.75,0.2434024505183789,0.7565975494816211,5658,False
CADEC,BioMistral-7B,margin,0.7,0.24185811663721282,0.7581418833627872,5658,False
CADEC,BioMistral-7B,margin,0.65,0.2411636759108211,0.7588363240891789,5658,False
CADEC,BioMistral-7B,margin,0.6,0.2418262150220913,0.7581737849779087,5658,False
CADEC,BioMistral-7B,margin,0.55,0.24293059125964012,0.7570694087403599,5658,False
CADEC,BioMistral-7B,margin,0.5,0.24460940261576528,0.7553905973842348,5658,False
CADEC,BioMistral-7B,margin,0.45,0.24734982332155478,0.7526501766784452,5658,False
CADEC,BioMistral-7B,margin,0.4,0.24514134275618374,0.7548586572438163,5658,False
CADEC,BioMistral-7B,margin,0.35,0.24381625441696114,0.7561837455830389,5658,False
