dataset,model,signal,coverage,selective_accuracy,risk,n,small_n,n_keep,n_total
MedMentions,Llama3-OpenBioLLM-8B,combined,0.45,0.3438914027149321,0.6561085972850679,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined,0.4,0.3553299492385787,0.6446700507614214,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined,0.35,0.3430232558139535,0.6569767441860466,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined,0.3,0.3445945945945945,0.6554054054054055,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined,0.25,0.3414634146341463,0.6585365853658536,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined,0.2,0.3838383838383838,0.6161616161616161,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined,0.15,0.4864864864864865,0.5135135135135135,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined,0.1,0.6,0.4,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined_3,1.0,0.2281059063136456,0.7718940936863543,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined_3,0.95,0.2355460385438972,0.7644539614561028,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined_3,0.9,0.2420814479638009,0.7579185520361991,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined_3,0.85,0.2559808612440191,0.7440191387559809,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined_3,0.8,0.2697201017811705,0.7302798982188294,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined_3,0.75,0.2791327913279133,0.7208672086720866,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined_3,0.7,0.2994186046511627,0.7005813953488372,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined_3,0.65,0.315625,0.684375,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined_3,0.6,0.3322033898305084,0.6677966101694915,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined_3,0.55,0.3616236162361623,0.6383763837638377,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined_3,0.5,0.3821138211382114,0.6178861788617886,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined_3,0.45,0.416289592760181,0.5837104072398189,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined_3,0.4,0.4314720812182741,0.5685279187817258,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined_3,0.35,0.4651162790697674,0.5348837209302326,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined_3,0.3,0.4864864864864865,0.5135135135135135,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined_3,0.25,0.5365853658536586,0.4634146341463414,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined_3,0.2,0.5757575757575758,0.4242424242424242,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined_3,0.15,0.5945945945945946,0.4054054054054054,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined_3,0.1,0.62,0.38,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,confidence,1.0,0.2281059063136456,0.7718940936863543,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,confidence,0.95,0.2312633832976445,0.7687366167023555,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,confidence,0.9,0.2375565610859728,0.7624434389140271,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,confidence,0.85,0.2416267942583732,0.7583732057416268,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,confidence,0.8,0.2519083969465648,0.7480916030534351,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,confidence,0.75,0.2628726287262872,0.7371273712737128,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,confidence,0.7,0.2761627906976744,0.7238372093023255,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,confidence,0.65,0.29375,0.70625,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,confidence,0.6,0.3152542372881356,0.6847457627118644,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,confidence,0.55,0.3431734317343173,0.6568265682656826,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,confidence,0.5,0.3617886178861789,0.6382113821138211,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,confidence,0.45,0.3981900452488687,0.6018099547511313,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,confidence,0.4,0.4365482233502538,0.5634517766497462,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,confidence,0.35,0.4767441860465116,0.5232558139534884,491,False,,
