coverage,n_keep,n_total,selective_accuracy,risk,dataset,model,signal,n,small_n
0.3,,,0.11547619047619048,0.8845238095238095,SQuAD2,Mistral-7B-Instruct-v0.1,random,139,True
0.25,,,0.11571428571428573,0.8842857142857142,SQuAD2,Mistral-7B-Instruct-v0.1,random,139,True
0.2,,,0.10357142857142856,0.8964285714285715,SQuAD2,Mistral-7B-Instruct-v0.1,random,139,True
0.15,,,0.09999999999999998,0.9,SQuAD2,Mistral-7B-Instruct-v0.1,random,139,True
0.1,,,0.08214285714285713,0.9178571428571429,SQuAD2,Mistral-7B-Instruct-v0.1,random,139,True
1.0,139.0,139.0,0.050359712230215826,0.9496402877697842,SQuAD2,OpenBioLLM-8B,entropy,139,True
0.95,133.0,139.0,0.045112781954887216,0.9548872180451128,SQuAD2,OpenBioLLM-8B,entropy,139,True
0.9,126.0,139.0,0.03968253968253968,0.9603174603174603,SQuAD2,OpenBioLLM-8B,entropy,139,True
0.85,119.0,139.0,0.04201680672268908,0.957983193277311,SQuAD2,OpenBioLLM-8B,entropy,139,True
0.8,112.0,139.0,0.044642857142857144,0.9553571428571429,SQuAD2,OpenBioLLM-8B,entropy,139,True
0.75,105.0,139.0,0.0380952380952381,0.9619047619047619,SQuAD2,OpenBioLLM-8B,entropy,139,True
0.7,98.0,139.0,0.04081632653061224,0.9591836734693877,SQuAD2,OpenBioLLM-8B,entropy,139,True
0.65,91.0,139.0,0.04395604395604396,0.9560439560439561,SQuAD2,OpenBioLLM-8B,entropy,139,True
0.6,84.0,139.0,0.047619047619047616,0.9523809523809523,SQuAD2,OpenBioLLM-8B,entropy,139,True
0.55,77.0,139.0,0.05194805194805195,0.948051948051948,SQuAD2,OpenBioLLM-8B,entropy,139,True
0.5,70.0,139.0,0.05714285714285714,0.9428571428571428,SQuAD2,OpenBioLLM-8B,entropy,139,True
0.45,63.0,139.0,0.047619047619047616,0.9523809523809523,SQuAD2,OpenBioLLM-8B,entropy,139,True
0.4,56.0,139.0,0.05357142857142857,0.9464285714285714,SQuAD2,OpenBioLLM-8B,entropy,139,True
0.35,49.0,139.0,0.061224489795918366,0.9387755102040817,SQuAD2,OpenBioLLM-8B,entropy,139,True
0.3,42.0,139.0,0.047619047619047616,0.9523809523809523,SQuAD2,OpenBioLLM-8B,entropy,139,True
0.25,35.0,139.0,0.05714285714285714,0.9428571428571428,SQuAD2,OpenBioLLM-8B,entropy,139,True
0.2,28.0,139.0,0.03571428571428571,0.9642857142857143,SQuAD2,OpenBioLLM-8B,entropy,139,True
