dataset,model,signal,coverage,selective_accuracy,risk
MedMentions,FLAN-T5-base,mapping_confidence,0.25,0.2682926829268293,0.7317073170731707
MedMentions,FLAN-T5-base,mapping_confidence,0.2,0.25252525252525254,0.7474747474747474
MedMentions,FLAN-T5-base,mapping_confidence,0.15,0.20270270270270271,0.7972972972972973
MedMentions,FLAN-T5-base,mapping_confidence,0.1,0.2,0.8
MedMentions,FLAN-T5-base,random,1.0,0.20977596741344193,0.790224032586558
MedMentions,FLAN-T5-base,random,0.95,0.21102783725910065,0.7889721627408993
MedMentions,FLAN-T5-base,random,0.9,0.2127828054298643,0.7872171945701357
MedMentions,FLAN-T5-base,random,0.85,0.21423444976076556,0.7857655502392344
MedMentions,FLAN-T5-base,random,0.8,0.2134860050890585,0.7865139949109415
MedMentions,FLAN-T5-base,random,0.75,0.21260162601626015,0.7873983739837398
MedMentions,FLAN-T5-base,random,0.7,0.21293604651162795,0.7870639534883721
MedMentions,FLAN-T5-base,random,0.65,0.21375000000000002,0.78625
MedMentions,FLAN-T5-base,random,0.6,0.21355932203389832,0.7864406779661017
MedMentions,FLAN-T5-base,random,0.55,0.21420664206642068,0.7857933579335793
MedMentions,FLAN-T5-base,random,0.5,0.21300813008130084,0.7869918699186992
MedMentions,FLAN-T5-base,random,0.45,0.21289592760180995,0.78710407239819
MedMentions,FLAN-T5-base,random,0.4,0.21218274111675126,0.7878172588832487
MedMentions,FLAN-T5-base,random,0.35,0.2133720930232558,0.7866279069767442
MedMentions,FLAN-T5-base,random,0.3,0.2114864864864865,0.7885135135135135
MedMentions,FLAN-T5-base,random,0.25,0.2134146341463415,0.7865853658536586
MedMentions,FLAN-T5-base,random,0.2,0.21161616161616165,0.7883838383838384
MedMentions,FLAN-T5-base,random,0.15,0.20878378378378382,0.7912162162162162
MedMentions,FLAN-T5-base,random,0.1,0.203,0.7969999999999999
MedMentions,Llama3-OpenBioLLM-8B,combined,1.0,0.22810590631364563,0.7718940936863543
MedMentions,Llama3-OpenBioLLM-8B,combined,0.95,0.23554603854389722,0.7644539614561028
MedMentions,Llama3-OpenBioLLM-8B,combined,0.9,0.24434389140271492,0.755656108597285
MedMentions,Llama3-OpenBioLLM-8B,combined,0.85,0.2535885167464115,0.7464114832535885
MedMentions,Llama3-OpenBioLLM-8B,combined,0.8,0.26463104325699743,0.7353689567430026
MedMentions,Llama3-OpenBioLLM-8B,combined,0.75,0.2764227642276423,0.7235772357723578
MedMentions,Llama3-OpenBioLLM-8B,combined,0.7,0.2877906976744186,0.7122093023255813
MedMentions,Llama3-OpenBioLLM-8B,combined,0.65,0.30625,0.69375
MedMentions,Llama3-OpenBioLLM-8B,combined,0.6,0.31864406779661014,0.6813559322033899
MedMentions,Llama3-OpenBioLLM-8B,combined,0.55,0.3210332103321033,0.6789667896678967
MedMentions,Llama3-OpenBioLLM-8B,combined,0.5,0.32926829268292684,0.6707317073170731
