dataset,model,signal,coverage,selective_accuracy,risk
CADEC,BioMistral-7B,mapping_confidence,0.5,0.24982332155477033,0.7501766784452297
CADEC,BioMistral-7B,mapping_confidence,0.45,0.26580290537887713,0.7341970946211229
CADEC,BioMistral-7B,mapping_confidence,0.4,0.2871024734982332,0.7128975265017667
CADEC,BioMistral-7B,mapping_confidence,0.35,0.30843008581524484,0.6915699141847551
CADEC,BioMistral-7B,mapping_confidence,0.3,0.3309776207302709,0.6690223792697291
CADEC,BioMistral-7B,mapping_confidence,0.25,0.3660777385159011,0.6339222614840989
CADEC,BioMistral-7B,mapping_confidence,0.2,0.4107773851590106,0.5892226148409894
CADEC,BioMistral-7B,mapping_confidence,0.15,0.48881036513545345,0.5111896348645466
CADEC,BioMistral-7B,mapping_confidence,0.1,0.6201413427561837,0.3798586572438163
CADEC,BioMistral-7B,random,1.0,0.24403604877186785,0.7559639512281322
CADEC,BioMistral-7B,random,0.95,0.24405802492095968,0.7559419750790404
CADEC,BioMistral-7B,random,0.9,0.2439536709854731,0.756046329014527
CADEC,BioMistral-7B,random,0.85,0.24422157555601745,0.7557784244439826
CADEC,BioMistral-7B,random,0.8,0.24423586572438166,0.7557641342756183
CADEC,BioMistral-7B,random,0.75,0.24515901060070672,0.7548409893992933
CADEC,BioMistral-7B,random,0.7,0.24481322564361435,0.7551867743563856
CADEC,BioMistral-7B,random,0.65,0.24427833650448488,0.7557216634955151
CADEC,BioMistral-7B,random,0.6,0.24427267373380449,0.7557273262661955
CADEC,BioMistral-7B,random,0.55,0.24511725024092518,0.7548827497590749
CADEC,BioMistral-7B,random,0.5,0.24499999999999997,0.755
CADEC,BioMistral-7B,random,0.45,0.24570082449941105,0.754299175500589
CADEC,BioMistral-7B,random,0.4,0.24617932862190814,0.7538206713780918
CADEC,BioMistral-7B,random,0.35,0.24500252397778896,0.754997476022211
CADEC,BioMistral-7B,random,0.3,0.2447879858657244,0.7552120141342756
CADEC,BioMistral-7B,random,0.25,0.24328621908127207,0.7567137809187279
CADEC,BioMistral-7B,random,0.2,0.24363957597173144,0.7563604240282685
CADEC,BioMistral-7B,random,0.15,0.24263839811542992,0.7573616018845701
CADEC,BioMistral-7B,random,0.1,0.2435512367491166,0.7564487632508834
CADEC,FLAN-T5-base,combined,1.0,0.20518701482004234,0.7948129851799577
CADEC,FLAN-T5-base,combined,0.95,0.21188486536675952,0.7881151346332405
CADEC,FLAN-T5-base,combined,0.9,0.2159937279498236,0.7840062720501764
CADEC,FLAN-T5-base,combined,0.85,0.21814030718140306,0.7818596928185969
CADEC,FLAN-T5-base,combined,0.8,0.22513781697905183,0.7748621830209481
CADEC,FLAN-T5-base,combined,0.75,0.22912255939778875,0.7708774406022112
CADEC,FLAN-T5-base,combined,0.7,0.2313508064516129,0.7686491935483871
CADEC,FLAN-T5-base,combined,0.65,0.2390773405698779,0.7609226594301222
CADEC,FLAN-T5-base,combined,0.6,0.24728021170244047,0.7527197882975596
CADEC,FLAN-T5-base,combined,0.55,0.25240538806927515,0.7475946119307249
CADEC,FLAN-T5-base,combined,0.5,0.26146788990825687,0.7385321100917431
CADEC,FLAN-T5-base,combined,0.45,0.26421011368090946,0.7357898863190906
CADEC,FLAN-T5-base,combined,0.4,0.26322751322751325,0.7367724867724867
CADEC,FLAN-T5-base,combined,0.35,0.2620967741935484,0.7379032258064516
CADEC,FLAN-T5-base,combined,0.3,0.26161081716637274,0.7383891828336273
CADEC,FLAN-T5-base,combined,0.25,0.25335215243472126,0.7466478475652787
CADEC,FLAN-T5-base,combined,0.2,0.26278659611992944,0.7372134038800706
CADEC,FLAN-T5-base,combined,0.15,0.29494712103407755,0.7050528789659225
CADEC,FLAN-T5-base,combined,0.1,0.328042328042328,0.671957671957672
CADEC,FLAN-T5-base,entropy,1.0,0.20518701482004234,0.7948129851799577
CADEC,FLAN-T5-base,entropy,0.95,0.21039925719591457,0.7896007428040854
CADEC,FLAN-T5-base,entropy,0.9,0.21540572324578597,0.784594276754214
CADEC,FLAN-T5-base,entropy,0.85,0.21834786218347862,0.7816521378165213
CADEC,FLAN-T5-base,entropy,0.8,0.22425578831312018,0.7757442116868798
CADEC,FLAN-T5-base,entropy,0.75,0.22841684309574217,0.7715831569042578
CADEC,FLAN-T5-base,entropy,0.7,0.2313508064516129,0.7686491935483871
CADEC,FLAN-T5-base,entropy,0.65,0.2407055630936228,0.7592944369063772
CADEC,FLAN-T5-base,entropy,0.6,0.24669214936783299,0.753307850632167
CADEC,FLAN-T5-base,entropy,0.55,0.25465041693393203,0.7453495830660679
CADEC,FLAN-T5-base,entropy,0.5,0.25864502470007056,0.7413549752999294
CADEC,FLAN-T5-base,entropy,0.45,0.2618580948647589,0.7381419051352411
CADEC,FLAN-T5-base,entropy,0.4,0.2724867724867725,0.7275132275132274
CADEC,FLAN-T5-base,entropy,0.35,0.2762096774193548,0.7237903225806452
CADEC,FLAN-T5-base,entropy,0.3,0.2857142857142857,0.7142857142857143
CADEC,FLAN-T5-base,entropy,0.25,0.28722653493295697,0.712773465067043
CADEC,FLAN-T5-base,entropy,0.2,0.2980599647266314,0.7019400352733687
